elapsed	rss_kb	fds	cpu_s	log_bytes
32787	531600	8	5268.03	51974144
32847	531760	8	5278.24	53022720
32907	531808	8	5288.40	53022720
32967	531808	8	5298.73	53022720
33027	531728	8	5308.98	53022720
33087	531728	8	5319.32	53022720
33147	531728	8	5329.92	53022720
33207	531728	8	5340.02	53022720
33267	531728	8	5350.13	53022720
33327	531728	8	5360.25	53022720
33388	531664	8	5370.41	53022720
33448	531664	8	5380.68	53022720
33508	531664	8	5390.72	54071296
33568	531664	8	5400.76	54071296
33628	531680	8	5411.00	54071296
33688	531680	8	5421.09	54071296
33748	531712	8	5431.25	54071296
33808	531728	8	5441.34	54071296
33868	530544	8	5451.55	54071296
33928	530544	8	5461.84	54071296
33988	530560	8	5472.24	54071296
34048	530528	8	5482.67	54071296
34108	530544	8	5492.88	54071296
34168	530560	8	5503.23	55119872
34228	530560	8	5513.50	55119872
34288	530560	8	5523.63	55119872
34348	530592	8	5534.07	55119872
34408	530592	8	5544.43	55119872
34468	530592	8	5554.54	55119872
34529	530496	8	5564.67	55119872
34589	530608	8	5574.88	55119872
34649	530112	8	5584.96	55119872
34709	530112	8	5595.01	55119872
34769	530112	8	5605.09	56168448
34829	530096	8	5615.12	56168448
34889	530096	8	5625.32	56168448
34949	530096	8	5635.56	56168448
35009	530096	8	5645.64	56168448
35069	530096	8	5655.64	56168448
35129	530096	8	5665.86	56168448
35189	530096	8	5675.96	56168448
35249	530096	8	5686.13	56168448
35309	530096	8	5696.14	56168448
35369	530096	8	5706.22	56168448
35429	530096	8	5716.71	57217024
35489	529696	8	5726.95	57217024
35549	529152	8	5737.14	57217024
35609	529168	8	5747.74	57217024
35669	529168	8	5758.22	57217024
35730	529152	8	5768.57	57217024
35790	529152	8	5779.27	57217024
35850	528992	8	5789.92	57217024
35910	529040	8	5800.47	57217024
35970	529040	8	5810.45	57217024
36030	529056	8	5820.66	57217024
36090	529072	8	5830.78	58265600
36150	529072	8	5840.88	58265600
36210	529072	8	5851.11	58265600
36270	529072	8	5861.47	58265600
36330	529088	8	5871.77	58265600
36390	529088	8	5882.33	58265600
36450	529088	8	5892.41	58265600
36510	529136	8	5902.65	58265600
36570	529136	8	5913.02	58265600
36630	529136	8	5923.26	58265600
36690	529136	8	5933.53	58265600
36750	529152	8	5943.94	59314176
36810	529360	8	5954.21	59314176
36870	529360	8	5964.44	59314176
36930	529360	8	5974.56	59314176
36990	529360	8	5984.66	59314176
37051	529360	8	5994.90	59314176
37111	529632	8	6005.30	59314176
37171	529728	8	6015.86	59314176
37231	529744	8	6026.95	59314176
37291	529776	8	6037.56	59314176
37351	529824	8	6047.87	59314176
37411	529936	8	6058.33	60362752
37471	530096	8	6068.69	60362752
37531	530112	8	6079.16	60362752
37591	530128	8	6089.42	60362752
37651	530160	8	6099.68	60362752
37711	530112	8	6109.72	60362752
37771	530128	8	6119.85	60362752
37831	530144	8	6130.15	60362752
37891	530160	8	6140.60	60362752
37951	530176	8	6151.06	60362752
38011	530176	8	6161.38	61411328
38071	530176	8	6171.67	61411328
38131	530176	8	6182.22	61411328
38191	496464	8	6192.39	61411328
38252	510976	8	6201.87	61411328
38312	495424	8	6211.03	61411328
38372	494656	8	6218.43	61411328
38432	503984	8	6226.32	61411328
38492	507840	8	6232.26	61411328
38552	517616	8	6238.54	61411328
38612	469344	8	6245.41	61411328
38672	474064	8	6250.49	62459904
38732	477776	8	6255.27	62459904
38792	468080	8	6259.93	62459904
38852	484432	8	6264.54	62459904
38912	465904	8	6269.87	62459904
38972	477824	8	6276.97	62459904
39032	482144	8	6283.17	62459904
39092	480336	8	6290.42	62459904
39152	495632	8	6298.19	62459904
39212	502432	8	6305.43	62459904
39272	514160	8	6314.61	62459904
39332	515424	8	6322.22	63508480
39392	515232	8	6329.27	63508480
39452	525744	8	6335.01	63508480
39512	516128	8	6342.07	63508480
39572	522320	8	6351.03	63508480
39633	475136	8	6358.83	63508480
39693	490128	8	6365.94	63508480
39753	502928	8	6373.94	63508480
39813	506320	8	6381.38	63508480
39873	513472	8	6387.65	63508480
39933	516112	8	6394.98	64557056
39993	520080	8	6402.41	64557056
40053	525568	8	6408.75	64557056
40113	519184	8	6414.61	64557056
40173	512640	8	6420.96	64557056
40233	511840	8	6427.14	64557056
40293	522656	8	6432.56	64557056
40353	509280	8	6439.03	64557056
40413	490048	8	6444.63	64557056
40473	457392	8	6450.79	64557056
40533	472464	8	6457.52	64557056
40593	483184	8	6463.91	65605632
40653	489472	8	6469.44	65605632
40713	497040	8	6475.24	65605632
40773	485872	8	6481.07	65605632
40834	475264	8	6487.29	65605632
40894	485616	8	6493.52	65605632
40954	479344	8	6499.00	65605632
41014	491104	8	6504.28	65605632
41074	500160	8	6509.64	65605632
